gvkey,suit_pred
10008,0.12
100095,0.07
10016,0.15
10030,0.22
1004,0.04
100424,0.07
100644,0.11
102345,0.1830952380952381
10293,0.08
10349,0.29285714285714287
10382,0.007837837837837838
10386,0.06
10441,0.01
10519,0.24846153846153846
10540,0.02
10581,0.14
10597,0.7854565982303109
10618,0.05
10619,0.02
10622,0.88
106722,0.05
10685,0.1
10692,0.11
106989,0.0
107130,0.05
10735,0.96
10777,0.06
10791,0.06766666666666667
10813,0.11
10816,0.1
10820,0.15860206460206455
108831,0.15
1094,0.04
10983,0.45
109930,0.22
11027,0.14
110533,0.02
110685,0.36
11094,0.01
111282,0.01
112034,0.03
11217,0.23
11302,0.08
11313,0.0
113530,0.92
114421,0.81
114748,0.06
11580,0.0
116284,0.77
116895,0.06
11703,0.01
11721,0.96
1173,0.08
11749,0.052000000000000005
119316,0.16
120444,0.12
12161,0.15860206460206455
122380,0.1
12262,0.22
12379,0.05
12413,0.13
12445,0.16
124775,0.09
125604,0.12
12581,0.19
126056,0.14
126721,0.2
12722,0.12
12744,0.07
127958,0.5585719895287342
12938,0.16
12992,0.08
1300,0.12
13003,0.4
130299,0.11
13169,0.7854565982303109
1331,0.14
13328,0.07
13472,0.06
13570,0.011666666666666667
135844,0.13
13630,0.09
136647,0.02
13679,0.03
137373,0.13
137390,0.7854565982303109
138601,0.83
139746,0.14
14017,0.03
14078,0.16
14084,0.14
140910,0.23
141198,0.05871434798854153
14225,0.08
14229,0.12
142499,0.02
142731,0.21764119485424815
143710,0.38
143748,0.01
143831,0.05
143912,0.98
143952,0.16478216203175883
144066,0.12
145027,0.04
145351,0.14
145973,0.0
145979,0.12
146017,0.02
146313,0.03783783783783784
147501,0.04
147988,0.04
148223,0.93
148257,0.05
148328,0.05
148349,0.1
148950,0.14
149099,0.01
14913,0.21
14954,0.05
150720,0.93
151037,0.09818650793650793
152109,0.07200000000000001
15252,0.13
15267,0.02
15314,0.91
15343,0.2
15359,0.05
1554,0.06
15623,0.05
156859,0.007837837837837838
156933,0.17
1593,0.16478216203175883
1598,0.11
160282,0.97
160555,0.01
160570,0.01
160598,0.04
160661,0.71
160681,0.17
160861,0.04
160893,0.02
1611,0.03
161813,0.16
161843,0.04
162384,0.15860206460206455
162742,0.07
162796,0.22
163036,0.01
163877,0.03
163975,0.29
164099,0.4
164116,0.01
164376,0.07
164494,1.0
164557,0.03
164585,0.02
16485,0.03
165358,0.03
165640,0.02
165653,0.12
165710,0.11
165856,0.04
165979,1.0
166087,0.11
166482,0.13
166491,0.08
166789,0.01
16760,0.04
1686,0.1
16878,0.12
17012,0.14
170418,0.15
1706,0.33
170603,0.03
170725,0.315959595959596
170839,0.05
170960,0.09
170972,0.15
171058,0.6774285714285715
171074,0.03
17277,0.45
174049,0.05
174119,0.02
17420,0.22392857142857142
174310,0.31
174355,0.14
174393,0.14
174663,0.7854565982303109
175110,0.04
175654,0.01
175686,0.05
175689,0.26
175724,0.05871434798854153
176092,0.06
17616,0.02
176247,0.0
176325,0.11
176362,0.19
176968,0.04
177031,0.95
177109,0.09
177224,0.0
177446,0.02
177545,0.11
177925,0.08
177966,0.12
17812,0.07
178172,0.15
178221,0.007837837837837838
1783,0.03
178405,0.06
178552,0.16
178644,0.05
178906,0.76
178973,0.0
178995,0.06
179055,0.1
179058,0.07
179132,0.16
179210,0.04
179249,0.3
179303,0.027666666666666666
179405,0.007837837837837838
179417,0.23
179577,0.3214285714285714
179657,0.31
179738,0.86
179819,0.07
179947,0.02
180016,0.11
180029,0.06
18003,0.68
180150,0.38
180249,0.17
180466,0.09
180474,0.38
180636,0.19
180646,0.01
180809,0.1
18114,0.05
181445,0.1
18169,0.05
1823,0.03
182491,0.8
183066,0.15860206460206455
183345,0.45
183390,0.02
183480,0.15
183517,0.04
18352,0.12
183555,0.7854565982303109
183736,0.11
183790,0.2591891891891892
183942,0.15
184133,0.18
184241,0.35
184258,0.02
184659,0.02
184817,0.1
184837,0.08
184868,0.14
18492,0.0960990503983658
18509,0.05
185119,0.49
185128,0.09
185229,0.14
185344,0.09
185391,0.1070967741935484
185525,0.12
185587,0.04
185592,0.15860206460206455
18576,0.31
185773,0.01
185891,0.09
185994,0.03
186097,0.03
186223,0.0960990503983658
186278,0.05
186310,0.08
186360,0.1
18654,0.91
186559,0.07
186654,0.04
187082,0.16478216203175883
187131,0.15860206460206455
187169,0.08
187350,0.05
187450,0.21
18748,0.02
187696,0.09
18799,0.05871434798854153
188255,0.06
188355,0.03
18844,0.39
188857,0.0960990503983658
189490,0.25
189491,0.06
189496,0.10461111111111113
189593,0.132
1926,0.09
19305,0.06
19349,0.11
19431,0.38
194355,0.15
19442,0.0
19622,0.12
1974,0.07
197958,0.0960990503983658
19807,0.02
19858,0.05
20036,0.11
20126,0.06
20147,0.043250000000000004
20235,0.03
2049,0.24
20696,0.14
2101,0.01
210418,0.36
21238,0.11
213288,0.1
21429,0.13
21487,0.1733028083028083
21496,0.3
21542,0.1
218399,0.17
221636,1.0
221821,0.38
22592,0.05
2271,0.09
22761,0.18
2285,0.96
22882,0.05
22949,0.08
23153,0.15
23220,0.2
23224,0.25
2340,0.16478216203175883
23591,0.08174468777409953
237820,0.05
2393,0.05
2433,0.162
24363,0.21764119485424815
244818,0.09
24720,0.05
24795,0.87
248819,1.0
24922,0.96
24925,0.06
2497,0.36
25088,0.27
25130,0.1
25160,0.11
25170,0.04
25180,0.06
2519,0.18
25224,0.93
25405,0.88
25406,0.02
25430,0.1
25572,0.1
25680,0.12
25726,0.08
25922,0.02
25929,0.07
25964,0.01
260408,0.06
26045,0.31
260737,0.84
268208,0.09
272699,0.2
2771,0.06
27873,0.007837837837837838
27960,0.19
27997,0.7854565982303109
2802,0.0
2817,0.12
28295,0.17
2831,0.007837837837837838
28641,0.01
28724,0.47
2888,0.31
29131,0.45
29156,0.12
29353,0.07
295786,0.08
29762,0.96
29789,0.12
29894,0.01
29921,0.45
2999,0.17
30098,0.0
30260,0.1
30463,0.16
30558,0.02
30614,0.27
3093,0.02
31032,0.007837837837837838
31154,0.08236111111111111
31424,0.01
316056,0.1
3184,0.02
3218,0.1
3497,0.12
3580,0.42
3639,0.0
3650,0.12
3662,0.1
3735,0.14
3835,0.36247010835720517
3908,0.04
4036,0.02
4058,0.07
4091,0.12
4108,0.05
4115,0.0
4149,0.15
4156,0.05
4186,0.06
4199,0.96
4321,0.17
4415,0.29
4450,0.13
4460,0.01
4497,0.01
4498,0.03
4608,0.13
4807,0.12
4818,0.15
4860,0.47
4864,0.44
4881,0.01
4941,0.06
5018,0.14
5046,0.14
5047,0.98
5087,0.2325
5218,0.09
5229,0.03
5237,0.1
5252,0.08
5254,0.14
5256,0.08
5288,0.03
5496,0.254
5520,0.08
5559,0.1
5567,0.03
5594,0.7854565982303109
5608,0.1070967741935484
5764,0.07
5788,0.05
5792,0.01
5860,0.16
5878,0.13
5899,0.04
5959,0.02
5971,0.0
5978,0.12
5987,0.08
6013,0.04
6040,0.01
6081,0.49
6089,0.09
60979,0.09
61008,0.10766666666666666
61153,0.91
61635,0.8
61689,0.7854565982303109
61726,0.01
61732,0.03
61766,0.24
6185,0.17
61984,0.04
62072,0.02
6216,0.59
62210,0.011000000000000001
62221,0.02
6223,0.14
62268,0.07
62292,0.06
62322,0.03691666666666667
6233,0.16
62819,0.02
63000,0.01
63026,0.04
63220,0.19
6326,0.31
63265,0.09836904761904762
6331,0.04
63386,0.02
63477,0.63
6357,0.33
63596,0.0
63698,0.05
6386,0.0830952380952381
63876,0.17
63914,0.16
64020,0.14
64121,0.05
64163,0.06
64169,0.1
64223,0.0
64254,0.13
64364,0.08
64433,0.07
64488,0.1
64523,0.13
64549,0.95
64550,0.18
64618,0.09142857142857143
6494,0.22
64997,0.08
6500,0.24
65015,0.09
6506,0.42
6527,0.06
6534,0.007837837837837838
65344,0.01
65380,0.01
65399,0.69
66065,0.76
66149,0.12
6617,0.04
66300,0.7854565982303109
66301,0.04863636363636363
66371,0.41
66446,0.2
66544,0.0
66629,0.1
66665,0.04
6667,0.02
66927,0.28
6737,0.07
6774,0.36
6845,0.212
6972,0.02
6994,0.23
7085,0.15
7106,0.007837837837837838
7185,0.03
7232,0.04
7281,0.12
7295,0.08
7300,0.02
7389,0.03
7435,0.17
7471,0.07
7549,0.03
7762,0.11
7921,0.01
7985,0.04
7991,0.89
8054,0.06503795066413662
8176,0.02
8214,0.12
8253,0.09
8304,0.93
8358,0.17145238095238097
8386,0.02
8423,0.19
8463,0.14
8486,0.1
8546,0.1
8699,0.06
8717,0.23
8832,0.17
8958,0.12
8972,0.2
9016,0.11
9173,0.96
9203,0.12
9323,0.18
9325,0.13
9619,0.12
9698,0.16
9771,0.07
9778,0.07
9922,0.03
